target_id,mode,shots,simulator_seed,transpiler_seed,backend_name,noise_model_loaded,quantum_execution_scope,status,payload_path,seconds
MNIST_QNN_zz_r1_d6_s45,exact,0,-1,2026,none,False,exact_full_model,ok,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/MNIST_QNN_zz_r1_d6_s45/payloads/exact.pt,
MNIST_QNN_zz_r1_d6_s45,ideal_shot,128,0,2026,ibm_kingston,False,full_main_quantum_stack,ok,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/MNIST_QNN_zz_r1_d6_s45/payloads/ideal_shot_shots128_sim0.pt,3.856
MNIST_QNN_zz_r1_d6_s45,ideal_shot,128,1,2026,ibm_kingston,False,full_main_quantum_stack,ok,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/MNIST_QNN_zz_r1_d6_s45/payloads/ideal_shot_shots128_sim1.pt,3.718
MNIST_QNN_zz_r1_d6_s45,ideal_shot,128,2,2026,ibm_kingston,False,full_main_quantum_stack,ok,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/MNIST_QNN_zz_r1_d6_s45/payloads/ideal_shot_shots128_sim2.pt,3.678
MNIST_QNN_zz_r1_d6_s45,ideal_shot,128,3,2026,ibm_kingston,False,full_main_quantum_stack,ok,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/MNIST_QNN_zz_r1_d6_s45/payloads/ideal_shot_shots128_sim3.pt,3.836
MNIST_QNN_zz_r1_d6_s45,ideal_shot,128,4,2026,ibm_kingston,False,full_main_quantum_stack,ok,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/MNIST_QNN_zz_r1_d6_s45/payloads/ideal_shot_shots128_sim4.pt,3.691
MNIST_QNN_zz_r1_d6_s45,ideal_shot,128,5,2026,ibm_kingston,False,full_main_quantum_stack,ok,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/MNIST_QNN_zz_r1_d6_s45/payloads/ideal_shot_shots128_sim5.pt,3.674
MNIST_QNN_zz_r1_d6_s45,ideal_shot,128,6,2026,ibm_kingston,False,full_main_quantum_stack,ok,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/MNIST_QNN_zz_r1_d6_s45/payloads/ideal_shot_shots128_sim6.pt,3.778
MNIST_QNN_zz_r1_d6_s45,ideal_shot,128,7,2026,ibm_kingston,False,full_main_quantum_stack,ok,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/MNIST_QNN_zz_r1_d6_s45/payloads/ideal_shot_shots128_sim7.pt,3.7
MNIST_QNN_zz_r1_d6_s45,ideal_shot,128,8,2026,ibm_kingston,False,full_main_quantum_stack,ok,/home/najeeb/quarift_neurips_rebutal_2/reviewer_results/noisy_sanity/raw_all_seeds/MNIST_QNN_zz_r1_d6_s45/payloads/ideal_shot_shots128_sim8.pt,3.686
